CodProducto;CodSubcategoria;Producto;Color;PrecioCatálogo;Tamaño;RangoTamaño;Línea;Modelo
350;1;Mountain-100 Negro, 44;Negro;3374.99;44;42-46 CM;M;Mountain-100
436;14;ML Road Frame-W - Amarillo, 48;Amarillo;594.83;48;48-52 CM;R;ML Road Frame-W
400;4;ML Mountain Handlebars;NA;61.92;;NA;M;ML Mountain Handlebars
283;14;LL Road Frame - Negro, 48;Negro;306.5636;48;48-52 CM;R;LL Road Frame
587;1;Mountain-400-W Verde, 38;Verde;769.49;38;38-40 CM;M;Mountain-400-W
372;2;Road-250 Rojo, 58;Rojo;2443.35;58;54-58 CM;R;Road-250
425;17;Touring Rear Wheel;Negro;245.01;;NA;T;Touring Rear Wheel
509;16;LL Touring Frame - Amarillo, 58;Amarillo;333.42;58;54-58 CM;T;LL Touring Frame
480;37;Patch Kit/8 Patches;NA;2.29;;NA;S;Patch kit
346;1;Mountain-100 Verde, 44;Verde;3399.99;44;42-46 CM;M;Mountain-100
379;2;Road-250 Negro, 58;Negro;2181.5625;58;54-58 CM;R;Road-250
482;23;Racing Socks, L;Blanco;8.99;L;L;R;Racing Socks
446;35;Touring-Panniers, Large;Gris;125;;NA;T;Touring-Panniers
246;14;HL Road Frame - Rojo, 48;Rojo;1431.5;48;48-52 CM;R;HL Road Frame
254;14;LL Road Frame - Negro, 58;Negro;306.5636;58;54-58 CM;R;LL Road Frame
391;10;LL Fork;NA;148.22;;NA;;LL Fork
359;1;Mountain-200 Negro, 38;Negro;2294.99;38;38-40 CM;M;Mountain-200
323;2;Road-650 Rojo, 60;Rojo;782.99;60;60-62 CM;R;Road-650
405;4;ML Road Handlebars;NA;56.2909;;NA;R;ML Road Handlebars
506;16;LL Touring Frame - Amarillo, 44;Amarillo;333.42;44;42-46 CM;T;LL Touring Frame
531;12;LL Mountain Frame - Negro, 42;Negro;249.79;42;42-46 CM;M;LL Mountain Frame
460;18;Men's Bib-Shorts, M;Naranja;89.99;M;M;S;Men's Bib-Shorts
579;3;Touring-2000 Azul, 54;Azul;1214.85;54;54-58 CM;T;Touring-2000
596;1;Mountain-500 Negro, 40;Negro;539.99;40;38-40 CM;M;Mountain-500
398;4;LL Mountain Handlebars;NA;44.54;;NA;M;LL Mountain Handlebars
483;26;Hitch Rack - 4-Bike;NA;120;;NA;S;Hitch Rack - 4-Bike
219;23;Mountain Bike Socks, L;Blanco;9.5;L;L;M;Mountain Bike Socks
266;14;LL Road Frame - Rojo, 52;Rojo;306.5636;52;48-52 CM;R;LL Road Frame
484;29;Bike Wash - Dissolver;NA;7.95;;NA;S;Bike Wash
302;12;HL Mountain Frame - Negro, 46;Negro;1226.9091;46;42-46 CM;M;HL Mountain Frame
320;2;Road-650 Rojo, 58;Rojo;699.0982;58;54-58 CM;R;Road-650
399;4;ML Mountain Handlebars;NA;56.2909;;NA;M;ML Mountain Handlebars
548;13;Touring Pedal;Verde/Negro;80.99;;NA;T;Touring Pedal
245;14;HL Road Frame - Rojo, 48;Rojo;1301.3636;48;48-52 CM;R;HL Road Frame
549;12;ML Mountain Frame-W - Verde, 38;Verde;364.09;38;38-40 CM;M;ML Mountain Frame-W
298;12;HL Mountain Frame - Negro, 42;Negro;1349.6;42;42-46 CM;M;HL Mountain Frame
383;2;Road-550-W Amarillo, 40;Amarillo;1000.4375;40;38-40 CM;R;Road-550-W
413;17;LL Road Front Wheel;Negro;85.565;;NA;R;LL Road Front Wheel
394;11;LL Headset;NA;34.2;;NA;;LL Headset
510;16;LL Touring Frame - Azul, 44;Azul;333.42;44;42-46 CM;T;LL Touring Frame
409;12;ML Mountain Frame - Negro, 38;Negro;348.76;38;38-40 CM;M;ML Mountain Frame-W
457;24;Women's Tights, M;Negro;74.99;M;M;S;Women's Tights
527;12;LL Mountain Frame - Verde, 52;Verde;264.05;52;48-52 CM;M;LL Mountain Frame
485;30;Fender Set - Mountain;NA;21.98;;NA;M;Fender Set - Mountain
597;1;Mountain-500 Negro, 42;Negro;539.99;42;42-46 CM;M;Mountain-500
468;20;Full-Finger Gloves, S;Negro;37.99;S;S;M;Full-Finger Gloves
381;2;Road-550-W Amarillo, 38;Amarillo;1000.4375;38;38-40 CM;R;Road-550-W
522;15;ML Touring Seat/Saddle;NA;39.14;;NA;T;ML Touring Seat/Saddle
488;21;Short-Sleeve Classic Jersey, S;Amarillo;53.99;S;S;S;Short-Sleeve Classic Jersey
567;3;Touring-3000 Azul, 62;Azul;742.35;62;60-62 CM;T;Touring-3000
526;12;LL Mountain Frame - Verde, 48;Verde;264.05;48;48-52 CM;M;LL Mountain Frame
330;2;Road-650 Rojo, 52;Rojo;699.0982;52;48-52 CM;R;Road-650
530;37;Touring Tire Tube;NA;4.99;;NA;T;Touring Tire Tube
389;2;Road-550-W Amarillo, 48;Amarillo;1000.4375;48;48-52 CM;R;Road-550-W
565;3;Touring-3000 Azul, 54;Azul;742.35;54;54-58 CM;T;Touring-3000
583;2;Road-350-W Amarillo, 48;Amarillo;1700.99;48;48-52 CM;R;Road-350-W
516;15;ML Mountain Seat/Saddle;NA;39.14;;NA;M;ML Mountain Seat/Saddle 2
250;14;HL Road Frame - Rojo, 56;Rojo;1263.4598;56;54-58 CM;R;HL Road Frame
312;2;Road-150 Rojo, 48;Rojo;3578.27;48;48-52 CM;R;Road-150
408;4;HL Road Handlebars;NA;120.27;;NA;R;HL Road Handlebars
427;12;ML Mountain Frame - Negro, 44;Negro;348.76;44;42-46 CM;M;ML Mountain Frame
508;16;LL Touring Frame - Amarillo, 54;Amarillo;333.42;54;54-58 CM;T;LL Touring Frame
414;17;ML Road Front Wheel;Negro;248.385;;NA;R;ML Road Front Wheel
361;1;Mountain-200 Negro, 42;Negro;2294.99;42;42-46 CM;M;Mountain-200
515;15;LL Mountain Seat/Saddle;NA;27.12;;NA;M;LL Mountain Seat/Saddle 2
296;12;HL Mountain Frame - Negro, 42;Negro;1191.1739;42;42-46 CM;M;HL Mountain Frame
363;1;Mountain-200 Negro, 46;Negro;2294.99;46;42-46 CM;M;Mountain-200
470;20;Full-Finger Gloves, L;Negro;37.99;L;L;M;Full-Finger Gloves
598;1;Mountain-500 Negro, 44;Negro;539.99;44;42-46 CM;M;Mountain-500
602;5;ML Bottom Bracket;NA;101.24;;NA;;ML Bottom Bracket
364;1;Mountain-300 Negro, 38;Negro;1079.99;38;38-40 CM;M;Mountain-300
340;2;Road-650 Negro, 48;Negro;699.0982;48;48-52 CM;R;Road-650
590;1;Mountain-400-W Verde, 46;Verde;769.49;46;42-46 CM;M;Mountain-400-W
490;21;Short-Sleeve Classic Jersey, L;Amarillo;53.99;L;L;S;Short-Sleeve Classic Jersey
557;8;ML Crankset;Negro;256.49;;NA;;ML Crankset
514;6;Rear Brakes;Verde;106.5;;NA;;Rear Brakes
234;21;Long-Sleeve Logo Jersey, L;Naranja;49.99;L;L;S;Long-Sleeve Logo Jersey
594;1;Mountain-500 Verde, 48;Verde;564.99;48;48-52 CM;M;Mountain-500
223;19;AWC Logo Cap;Naranja;8.6442;;NA;S;Cycling Cap
387;2;Road-550-W Amarillo, 44;Amarillo;1000.4375;44;42-46 CM;R;Road-550-W
285;14;LL Road Frame - Negro, 52;Negro;297.6346;52;48-52 CM;R;LL Road Frame
295;12;HL Mountain Frame - Verde, 46;Verde;1364.5;46;42-46 CM;M;HL Mountain Frame
438;14;HL Road Frame - Negro, 62;Negro;1431.5;62;60-62 CM;R;HL Road Frame
376;2;Road-250 Negro, 48;Negro;2443.35;48;48-52 CM;R;Road-250
280;14;LL Road Frame - Negro, 44;Negro;306.5636;44;42-46 CM;R;LL Road Frame
258;14;LL Road Frame - Negro, 60;Negro;337.22;60;60-62 CM;R;LL Road Frame
999;14;LE Road Frame - Transparente, 20;Negro;339.99;60;60-70 CM;R;LL Road Frame
